123,119.86,122.03
121,122.6,122.23
123.5,127.14,123.98
124.4,126.47,125.4
126.7,127.27,124.42
127.1,127.31,122.84
128,131.25,126.46
126.4,129.73,127.09
126.1,128.88,126.26
121.9,126.35,127.05
120.2,123.89,127.49
118.6,124.49,128.32
115.4,121.05,126.56
110.8,116.21,122.96
104.8,109.81,118.15
102.8,107.41,113.98
99.7,104.31,111.54
97.5,104.02,106.89
90.1,94.465,100.24
82.4,92.496,95.526
77.8,87.274,90.384
68.7,84.473,88.872
67.5,84.06,86.652
63.4,84.265,86.127
58.6,84.087,85.302
56.4,82.78,83.938
54.5,82.07,81.718
53.8,84.273,80.33
52.3,79.244,80.653
47.2,78.554,78.712
41.6,71.569,75.18
